datasetId,archiveType,dataSetName,geo_meanElev,geo_meanLat,geo_meanLon,geo_siteName,interpretation_direction,interpretation_seasonality,interpretation_variable,interpretation_variableDetail,originalDataURL,originalDatabase,paleoData_notes,paleoData_proxy,paleoData_sensorSpecies,paleoData_units,paleoData_variableName,yearUnits
sisal_9.0_0,speleothem,Bittoo cave,3000.0,30.7903,77.7764,Bittoo cave,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.1038/srep24374'],SISAL v3,calcite,d18O,N/A,permil,d18O,CE
sisal_9.0_1,speleothem,Bittoo cave,3000.0,30.7903,77.7764,Bittoo cave,N/A,N/A,N/A,N/A,['10.1038/srep24374'],SISAL v3,calcite,d13C,N/A,permil,d13C,CE
sisal_9.0_2,speleothem,Bittoo cave,3000.0,30.7903,77.7764,Bittoo cave,N/A,N/A,N/A,N/A,['10.1038/srep24374'],SISAL v3,calcite,growth rate,N/A,mm/year,growth rate,CE
sisal_19.0_3,speleothem,Kesang cave,2000.0,42.87,81.75,Kesang cave,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.1038/srep36975'],SISAL v3,calcite,d18O,N/A,permil,d18O,CE
sisal_19.0_4,speleothem,Kesang cave,2000.0,42.87,81.75,Kesang cave,N/A,N/A,N/A,N/A,['10.1038/srep36975'],SISAL v3,calcite,d13C,N/A,permil,d13C,CE
sisal_19.0_5,speleothem,Kesang cave,2000.0,42.87,81.75,Kesang cave,N/A,N/A,N/A,N/A,['10.1038/srep36975'],SISAL v3,calcite,growth rate,N/A,mm/year,growth rate,CE
sisal_20.0_6,speleothem,Paraiso cave,60.0,-4.0667,-55.45,Paraiso cave,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.1038/nature20787'],SISAL v3,calcite,d18O,N/A,permil,d18O,CE
sisal_20.0_7,speleothem,Paraiso cave,60.0,-4.0667,-55.45,Paraiso cave,N/A,N/A,N/A,N/A,['10.1038/nature20787'],SISAL v3,calcite,d13C,N/A,permil,d13C,CE
sisal_20.0_8,speleothem,Paraiso cave,60.0,-4.0667,-55.45,Paraiso cave,N/A,N/A,N/A,N/A,['10.1038/nature20787'],SISAL v3,calcite,growth rate,N/A,mm/year,growth rate,CE
sisal_21.0_9,speleothem,Paraiso cave,60.0,-4.0667,-55.45,Paraiso cave,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.1038/nature20787'],SISAL v3,calcite,d18O,N/A,permil,d18O,CE
sisal_21.0_10,speleothem,Paraiso cave,60.0,-4.0667,-55.45,Paraiso cave,N/A,N/A,N/A,N/A,['10.1038/nature20787'],SISAL v3,calcite,d13C,N/A,permil,d13C,CE
sisal_21.0_11,speleothem,Paraiso cave,60.0,-4.0667,-55.45,Paraiso cave,N/A,N/A,N/A,N/A,['10.1038/nature20787'],SISAL v3,calcite,growth rate,N/A,mm/year,growth rate,CE
sisal_33.0_12,speleothem,Villars cave,175.0,45.43,0.78,Villars cave,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.1016/j.quascirev.2014.12.021'],SISAL v3,calcite,d18O,N/A,permil,d18O,CE
sisal_33.0_13,speleothem,Villars cave,175.0,45.43,0.78,Villars cave,N/A,N/A,N/A,N/A,['10.1016/j.quascirev.2014.12.021'],SISAL v3,calcite,d13C,N/A,permil,d13C,CE
sisal_33.0_14,speleothem,Villars cave,175.0,45.43,0.78,Villars cave,N/A,N/A,N/A,N/A,['10.1016/j.quascirev.2014.12.021'],SISAL v3,calcite,growth rate,N/A,mm/year,growth rate,CE
sisal_45.0_15,speleothem,Cold Air cave,1420.0,-24.0,29.1833,Cold Air cave,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.1016/s0031-0182(98)00223-5'],SISAL v3,aragonite,d18O,N/A,permil,d18O,CE
sisal_45.0_16,speleothem,Cold Air cave,1420.0,-24.0,29.1833,Cold Air cave,N/A,N/A,N/A,N/A,['10.1016/s0031-0182(98)00223-5'],SISAL v3,aragonite,d13C,N/A,permil,d13C,CE
sisal_45.0_17,speleothem,Cold Air cave,1420.0,-24.0,29.1833,Cold Air cave,N/A,N/A,N/A,N/A,['10.1016/s0031-0182(98)00223-5'],SISAL v3,aragonite,growth rate,N/A,mm/year,growth rate,CE
sisal_46.0_18,speleothem,Cold Air cave,1420.0,-24.0,29.1833,Cold Air cave,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.1191/095968399672625464'],SISAL v3,aragonite,d18O,N/A,permil,d18O,CE
sisal_46.0_19,speleothem,Cold Air cave,1420.0,-24.0,29.1833,Cold Air cave,N/A,N/A,N/A,N/A,['10.1191/095968399672625464'],SISAL v3,aragonite,d13C,N/A,permil,d13C,CE
sisal_46.0_20,speleothem,Cold Air cave,1420.0,-24.0,29.1833,Cold Air cave,N/A,N/A,N/A,N/A,['10.1191/095968399672625464'],SISAL v3,aragonite,growth rate,N/A,mm/year,growth rate,CE
sisal_47.0_21,speleothem,Cold Air cave,1420.0,-24.0,29.1833,Cold Air cave,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.1029/2000gl012728'],SISAL v3,aragonite,d18O,N/A,permil,d18O,CE
sisal_47.0_22,speleothem,Cold Air cave,1420.0,-24.0,29.1833,Cold Air cave,N/A,N/A,N/A,N/A,['10.1029/2000gl012728'],SISAL v3,aragonite,d13C,N/A,permil,d13C,CE
sisal_47.0_23,speleothem,Cold Air cave,1420.0,-24.0,29.1833,Cold Air cave,N/A,N/A,N/A,N/A,['10.1029/2000gl012728'],SISAL v3,aragonite,growth rate,N/A,mm/year,growth rate,CE
sisal_48.0_24,speleothem,Cold Air cave,1420.0,-24.0,29.1833,Cold Air cave,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.1016/s0277-3791(03)00204-x'],SISAL v3,aragonite,d18O,N/A,permil,d18O,CE
sisal_48.0_25,speleothem,Cold Air cave,1420.0,-24.0,29.1833,Cold Air cave,N/A,N/A,N/A,N/A,['10.1016/s0277-3791(03)00204-x'],SISAL v3,aragonite,d13C,N/A,permil,d13C,CE
sisal_49.0_26,speleothem,Cold Air cave,1420.0,-24.0,29.1833,Cold Air cave,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.1038/srep01767'],SISAL v3,aragonite,d18O,N/A,permil,d18O,CE
sisal_49.0_27,speleothem,Cold Air cave,1420.0,-24.0,29.1833,Cold Air cave,N/A,N/A,N/A,N/A,['10.1038/srep01767'],SISAL v3,aragonite,d13C,N/A,permil,d13C,CE
sisal_49.0_28,speleothem,Cold Air cave,1420.0,-24.0,29.1833,Cold Air cave,N/A,N/A,N/A,N/A,['10.1038/srep01767'],SISAL v3,aragonite,growth rate,N/A,mm/year,growth rate,CE
sisal_51.0_29,speleothem,Lancaster Hole,294.0,54.2209,-2.5168,Lancaster Hole,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['unpublished'],SISAL v3,calcite,d18O,N/A,permil,d18O,CE
sisal_51.0_30,speleothem,Lancaster Hole,294.0,54.2209,-2.5168,Lancaster Hole,N/A,N/A,N/A,N/A,['unpublished'],SISAL v3,calcite,d13C,N/A,permil,d13C,CE
sisal_58.0_31,speleothem,Jeita cave,100.0,33.95,35.65,Jeita cave,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.1002/2015gl065397'],SISAL v3,calcite,d18O,N/A,permil,d18O,CE
sisal_58.0_32,speleothem,Jeita cave,100.0,33.95,35.65,Jeita cave,N/A,N/A,N/A,N/A,['10.1002/2015gl065397'],SISAL v3,calcite,d13C,N/A,permil,d13C,CE
sisal_58.0_33,speleothem,Jeita cave,100.0,33.95,35.65,Jeita cave,N/A,N/A,N/A,N/A,['10.1002/2015gl065397'],SISAL v3,calcite,growth rate,N/A,mm/year,growth rate,CE
sisal_60.0_34,speleothem,Jeita cave,100.0,33.95,35.65,Jeita cave,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.1002/2015gl065397'],SISAL v3,calcite,d18O,N/A,permil,d18O,CE
sisal_60.0_35,speleothem,Jeita cave,100.0,33.95,35.65,Jeita cave,N/A,N/A,N/A,N/A,['10.1002/2015gl065397'],SISAL v3,calcite,d13C,N/A,permil,d13C,CE
sisal_60.0_36,speleothem,Jeita cave,100.0,33.95,35.65,Jeita cave,N/A,N/A,N/A,N/A,['10.1002/2015gl065397'],SISAL v3,calcite,growth rate,N/A,mm/year,growth rate,CE
sisal_76.0_37,speleothem,Huangye cave,1650.0,33.5833,105.1167,Huangye cave,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.1177/0959683610378880'],SISAL v3,calcite,d18O,N/A,permil,d18O,CE
sisal_76.0_38,speleothem,Huangye cave,1650.0,33.5833,105.1167,Huangye cave,N/A,N/A,N/A,N/A,['10.1177/0959683610378880'],SISAL v3,calcite,growth rate,N/A,mm/year,growth rate,CE
sisal_77.0_39,speleothem,Huangye cave,1650.0,33.5833,105.1167,Huangye cave,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.1177/0959683610378880'],SISAL v3,calcite,d18O,N/A,permil,d18O,CE
sisal_77.0_40,speleothem,Huangye cave,1650.0,33.5833,105.1167,Huangye cave,N/A,N/A,N/A,N/A,['10.1177/0959683610378880'],SISAL v3,calcite,growth rate,N/A,mm/year,growth rate,CE
sisal_78.0_41,speleothem,Huangye cave,1650.0,33.5833,105.1167,Huangye cave,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.1177/0959683610378880'],SISAL v3,calcite,d18O,N/A,permil,d18O,CE
sisal_78.0_42,speleothem,Huangye cave,1650.0,33.5833,105.1167,Huangye cave,N/A,N/A,N/A,N/A,['10.1177/0959683610378880'],SISAL v3,calcite,growth rate,N/A,mm/year,growth rate,CE
sisal_90.0_43,speleothem,Lapa grande cave,590.0,-14.37,-44.28,Lapa grande cave,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.1130/g32098.1'],SISAL v3,calcite,d18O,N/A,permil,d18O,CE
sisal_90.0_44,speleothem,Lapa grande cave,590.0,-14.37,-44.28,Lapa grande cave,N/A,N/A,N/A,N/A,['10.1130/g32098.1'],SISAL v3,calcite,d13C,N/A,permil,d13C,CE
sisal_90.0_45,speleothem,Lapa grande cave,590.0,-14.37,-44.28,Lapa grande cave,N/A,N/A,N/A,N/A,['10.1130/g32098.1'],SISAL v3,calcite,growth rate,N/A,mm/year,growth rate,CE
sisal_93.0_46,speleothem,Palestina cave,870.0,-5.92,-77.35,Palestina cave,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.5194/cp-10-1967-2014'],SISAL v3,calcite,d18O,N/A,permil,d18O,CE
sisal_93.0_47,speleothem,Palestina cave,870.0,-5.92,-77.35,Palestina cave,N/A,N/A,N/A,N/A,['10.5194/cp-10-1967-2014'],SISAL v3,calcite,d13C,N/A,permil,d13C,CE
sisal_93.0_48,speleothem,Palestina cave,870.0,-5.92,-77.35,Palestina cave,N/A,N/A,N/A,N/A,['10.5194/cp-10-1967-2014'],SISAL v3,calcite,growth rate,N/A,mm/year,growth rate,CE
sisal_94.0_49,speleothem,Palestina cave,870.0,-5.92,-77.35,Palestina cave,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.5194/cp-10-1967-2014'],SISAL v3,calcite,d18O,N/A,permil,d18O,CE
sisal_94.0_50,speleothem,Palestina cave,870.0,-5.92,-77.35,Palestina cave,N/A,N/A,N/A,N/A,['10.5194/cp-10-1967-2014'],SISAL v3,calcite,d13C,N/A,permil,d13C,CE
sisal_94.0_51,speleothem,Palestina cave,870.0,-5.92,-77.35,Palestina cave,N/A,N/A,N/A,N/A,['10.5194/cp-10-1967-2014'],SISAL v3,calcite,growth rate,N/A,mm/year,growth rate,CE
sisal_95.0_52,speleothem,Okshola cave,165.0,67.0,15.0,Okshola cave,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.5194/cp-5-667-2009'],SISAL v3,calcite,d18O,N/A,permil,d18O,CE
sisal_95.0_53,speleothem,Okshola cave,165.0,67.0,15.0,Okshola cave,N/A,N/A,N/A,N/A,['10.5194/cp-5-667-2009'],SISAL v3,calcite,d13C,N/A,permil,d13C,CE
sisal_95.0_54,speleothem,Okshola cave,165.0,67.0,15.0,Okshola cave,N/A,N/A,N/A,N/A,['10.5194/cp-5-667-2009'],SISAL v3,calcite,growth rate,N/A,mm/year,growth rate,CE
sisal_97.0_55,speleothem,Tamboril cave,200.0,-16.0,-47.0,Tamboril cave,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.1016/j.epsl.2017.01.034'],SISAL v3,aragonite,d18O,N/A,permil,d18O,CE
sisal_97.0_56,speleothem,Tamboril cave,200.0,-16.0,-47.0,Tamboril cave,N/A,N/A,N/A,N/A,['10.1016/j.epsl.2017.01.034'],SISAL v3,aragonite,d13C,N/A,permil,d13C,CE
sisal_97.0_57,speleothem,Tamboril cave,200.0,-16.0,-47.0,Tamboril cave,N/A,N/A,N/A,N/A,['10.1016/j.epsl.2017.01.034'],SISAL v3,aragonite,growth rate,N/A,mm/year,growth rate,CE
sisal_107.0_58,speleothem,Anjokipoty,43.0,-15.5784,46.7344,Anjokipoty,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.5194/cp-2016-137'],SISAL v3,calcite,d18O,N/A,permil,d18O,CE
sisal_107.0_59,speleothem,Anjokipoty,43.0,-15.5784,46.7344,Anjokipoty,N/A,N/A,N/A,N/A,['10.5194/cp-2016-137'],SISAL v3,calcite,d13C,N/A,permil,d13C,CE
sisal_107.0_60,speleothem,Anjokipoty,43.0,-15.5784,46.7344,Anjokipoty,N/A,N/A,N/A,N/A,['10.5194/cp-2016-137'],SISAL v3,calcite,growth rate,N/A,mm/year,growth rate,CE
sisal_110.0_61,speleothem,Curupira cave,420.0,-15.2002,-56.7839,Curupira cave,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.1038/srep24762'],SISAL v3,aragonite,d18O,N/A,permil,d18O,CE
sisal_110.0_62,speleothem,Curupira cave,420.0,-15.2002,-56.7839,Curupira cave,N/A,N/A,N/A,N/A,['10.1038/srep24762'],SISAL v3,aragonite,d13C,N/A,permil,d13C,CE
sisal_110.0_63,speleothem,Curupira cave,420.0,-15.2002,-56.7839,Curupira cave,N/A,N/A,N/A,N/A,['10.1038/srep24762'],SISAL v3,aragonite,growth rate,N/A,mm/year,growth rate,CE
sisal_111.0_64,speleothem,Dayu cave,870.0,33.133,106.3,Dayu cave,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.1016/j.palaeo.2009.06.030'],SISAL v3,aragonite,d18O,N/A,permil,d18O,CE
sisal_111.0_65,speleothem,Dayu cave,870.0,33.133,106.3,Dayu cave,N/A,N/A,N/A,N/A,['10.1016/j.palaeo.2009.06.030'],SISAL v3,aragonite,growth rate,N/A,mm/year,growth rate,CE
sisal_113.0_66,speleothem,Diva cave,680.0,-12.3819,-41.5733,Diva cave,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.1029/2012gl053936'],SISAL v3,mixed,d18O,N/A,permil,d18O,CE
sisal_113.0_67,speleothem,Diva cave,680.0,-12.3819,-41.5733,Diva cave,N/A,N/A,N/A,N/A,['10.1029/2012gl053936'],SISAL v3,mixed,d13C,N/A,permil,d13C,CE
sisal_113.0_68,speleothem,Diva cave,680.0,-12.3819,-41.5733,Diva cave,N/A,N/A,N/A,N/A,['10.1029/2012gl053936'],SISAL v3,mixed,growth rate,N/A,mm/year,growth rate,CE
sisal_115.0_69,speleothem,Dongge cave,680.0,25.2833,108.0833,Dongge cave,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.1126/science.1091220'],SISAL v3,calcite,d18O,N/A,permil,d18O,CE
sisal_115.0_70,speleothem,Dongge cave,680.0,25.2833,108.0833,Dongge cave,N/A,N/A,N/A,N/A,['10.1126/science.1091220'],SISAL v3,calcite,growth rate,N/A,mm/year,growth rate,CE
sisal_118.0_71,speleothem,Ifoulki cave,1250.0,30.708,-9.3275,Ifoulki cave,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.1016/j.epsl.2017.07.045'],SISAL v3,calcite,d18O,N/A,permil,d18O,CE
sisal_118.0_72,speleothem,Ifoulki cave,1250.0,30.708,-9.3275,Ifoulki cave,N/A,N/A,N/A,N/A,['10.1016/j.epsl.2017.07.045'],SISAL v3,calcite,d13C,N/A,permil,d13C,CE
sisal_118.0_73,speleothem,Ifoulki cave,1250.0,30.708,-9.3275,Ifoulki cave,N/A,N/A,N/A,N/A,['10.1016/j.epsl.2017.07.045'],SISAL v3,calcite,growth rate,N/A,mm/year,growth rate,CE
sisal_120.0_74,speleothem,Kapsia cave,700.0,37.6233,22.3539,Kapsia cave,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.1016/j.yqres.2013.12.009'],SISAL v3,calcite,d18O,N/A,permil,d18O,CE
sisal_120.0_75,speleothem,Kapsia cave,700.0,37.6233,22.3539,Kapsia cave,N/A,N/A,N/A,N/A,['10.1016/j.yqres.2013.12.009'],SISAL v3,calcite,d13C,N/A,permil,d13C,CE
sisal_120.0_76,speleothem,Kapsia cave,700.0,37.6233,22.3539,Kapsia cave,N/A,N/A,N/A,N/A,['10.1016/j.yqres.2013.12.009'],SISAL v3,calcite,growth rate,N/A,mm/year,growth rate,CE
sisal_123.0_77,speleothem,Larshullet cave,400.0,66.4381,14.1822,Larshullet cave,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.1016/j.quageo.2009.01.009'],SISAL v3,calcite,d18O,N/A,permil,d18O,CE
sisal_123.0_78,speleothem,Larshullet cave,400.0,66.4381,14.1822,Larshullet cave,N/A,N/A,N/A,N/A,['10.1016/j.quageo.2009.01.009'],SISAL v3,calcite,d13C,N/A,permil,d13C,CE
sisal_123.0_79,speleothem,Larshullet cave,400.0,66.4381,14.1822,Larshullet cave,N/A,N/A,N/A,N/A,['10.1016/j.quageo.2009.01.009'],SISAL v3,calcite,growth rate,N/A,mm/year,growth rate,CE
sisal_124.0_80,speleothem,Leviathan cave,2400.0,37.89,-115.58,Leviathan cave,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.1038/ncomms4805'],SISAL v3,calcite,d18O,N/A,permil,d18O,CE
sisal_124.0_81,speleothem,Leviathan cave,2400.0,37.89,-115.58,Leviathan cave,N/A,N/A,N/A,N/A,['10.1038/ncomms4805'],SISAL v3,calcite,d13C,N/A,permil,d13C,CE
sisal_124.0_82,speleothem,Leviathan cave,2400.0,37.89,-115.58,Leviathan cave,N/A,N/A,N/A,N/A,['10.1038/ncomms4805'],SISAL v3,calcite,growth rate,N/A,mm/year,growth rate,CE
sisal_127.0_83,speleothem,Natural Bridge caverns,306.0,29.69,-98.34,Natural Bridge caverns,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.1016/j.quascirev.2015.06.023'],SISAL v3,calcite,d18O,N/A,permil,d18O,CE
sisal_127.0_84,speleothem,Natural Bridge caverns,306.0,29.69,-98.34,Natural Bridge caverns,N/A,N/A,N/A,N/A,['10.1016/j.quascirev.2015.06.023'],SISAL v3,calcite,d13C,N/A,permil,d13C,CE
sisal_127.0_85,speleothem,Natural Bridge caverns,306.0,29.69,-98.34,Natural Bridge caverns,N/A,N/A,N/A,N/A,['10.1016/j.quascirev.2015.06.023'],SISAL v3,calcite,growth rate,N/A,mm/year,growth rate,CE
sisal_128.0_86,speleothem,Pau d'Alho cave,340.0,-15.2055,-56.8,Pau d'Alho cave,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.1038/srep24762'],SISAL v3,calcite,d18O,N/A,permil,d18O,CE
sisal_128.0_87,speleothem,Pau d'Alho cave,340.0,-15.2055,-56.8,Pau d'Alho cave,N/A,N/A,N/A,N/A,['10.1038/srep24762'],SISAL v3,calcite,d13C,N/A,permil,d13C,CE
sisal_128.0_88,speleothem,Pau d'Alho cave,340.0,-15.2055,-56.8,Pau d'Alho cave,N/A,N/A,N/A,N/A,['10.1038/srep24762'],SISAL v3,calcite,growth rate,N/A,mm/year,growth rate,CE
sisal_136.0_89,speleothem,Skala Marion cave,41.0,40.6387,24.5144,Skala Marion cave,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.1016/j.palaeo.2017.10.021'],SISAL v3,calcite,d18O,N/A,permil,d18O,CE
sisal_136.0_90,speleothem,Skala Marion cave,41.0,40.6387,24.5144,Skala Marion cave,N/A,N/A,N/A,N/A,['10.1016/j.palaeo.2017.10.021'],SISAL v3,calcite,d13C,N/A,permil,d13C,CE
sisal_136.0_91,speleothem,Skala Marion cave,41.0,40.6387,24.5144,Skala Marion cave,N/A,N/A,N/A,N/A,['10.1016/j.palaeo.2017.10.021'],SISAL v3,calcite,growth rate,N/A,mm/year,growth rate,CE
sisal_137.0_92,speleothem,Soylegrotta cave,280.0,66.0,14.0,Soylegrotta cave,N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,['10.1016/s0031-0182(00)00225-x'],SISAL v3,calcite,d18O,N/A,permil,d18O,CE
